"Title"	"ISSN"	"Languages (three-letter ISO language codes)"
"JOURNAL OF AGRICULTURAL ENGINEERING"	"1974-7071|2239-6268"	"ENG"
"JOURNAL OF AGRICULTURAL EXTENSION"	"1119-944X|2408-6851"	"ENG"
"JOURNAL OF AGRICULTURAL METEOROLOGY"	"0021-8588|1881-0136"	"ENG"
"JOURNAL OF AGRICULTURAL RESOURCES AND ENVIRONMENT"	"2095-6819"	"ENG"
"JOURNAL OF AGRICULTURAL SAFETY AND HEALTH"	"1074-7583|1943-7846"	"ENG"
"JOURNAL OF AGRICULTURAL SCIENCE"	"0021-8596|1469-5146"	"ENG"
"JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY"	"1680-7073|2345-3737"	"ENG"
"JOURNAL OF AGRICULTURAL SCIENCES (BELGRADE)"	"1450-8109|2406-0968"	"ENG"
"JOURNAL OF AGRICULTURAL SCIENCES - SRI LANKA"	"1391-9318|2386-1363"	"ENG"
"JOURNAL OF AGRICULTURAL SCIENCES - TARIM BILIMLERI DERGISI"	"1300-7580|2148-9297"	"ENG|TUR"
"JOURNAL OF AGRICULTURE AND CROPS"	"2412-6381|2413-886X"	"ENG"
"JOURNAL OF AGRICULTURE AND ENVIRONMENT FOR INTERNATIONAL DEVELOPMENT"	"2240-2802|1590-7198"	"ENG"
"JOURNAL OF AGRICULTURE AND FOOD RESEARCH"	"2666-1543"	"ENG"
"JOURNAL OF AGRICULTURE AND RURAL DEVELOPMENT IN THE TROPICS AND SUBTROPICS"	"1612-9830"	"GER"
"JOURNAL OF AGRICULTURE AND RURAL DEVELOPMENT IN THE TROPICS AND SUBTROPICS, SUPPLEMENT"	"1613-8422"	"ENG|GER"
"JOURNAL OF AGRICULTURE FOOD SYSTEMS AND COMMUNITY DEVELOPMENT"	"2152-0798|2152-0801"	"ENG"
"JOURNAL OF AGRICULTURE OF THE UNIVERSITY OF PUERTO RICO"	"0041-994X"	"ENG|SPA"
"JOURNAL OF AGRO - ENVIRONMENT SCIENCE"	"1672-2043"	"CHI"
"JOURNAL OF AGROMEDICINE"	"1059-924X|1545-0813"	"ENG"
"JOURNAL OF AGROMETEOROLOGY"	"0972-1665"	"ENG"
"JOURNAL OF AGRONOMY AND CROP SCIENCE"	"0931-2250|1439-037X"	"ENG|MUL"
"JOURNAL OF AIRCRAFT"	"0021-8669|1533-3868"	"ENG"
"JOURNAL OF AIR POLLUTION AND HEALTH"	"2476-3071"	"ENG"
"JOURNAL OF AIRPORT MANAGEMENT"	"1750-1938|1750-1946"	"ENG"
"JOURNAL OF AIR TRANSPORTATION"	"2380-9450"	"ENG"
"JOURNAL OF AIR TRANSPORT MANAGEMENT"	"0969-6997|1873-2089"	"ENG"
"JOURNAL OF ALGEBRA"	"0021-8693|1090-266X"	"ENG|MUL"
"JOURNAL OF ALGEBRA AND APPLIED MATHEMATICS"	"2319-7234"	"ENG"
"JOURNAL OF ALGEBRA AND ITS APPLICATIONS"	"0219-4988|1793-6829"	"ENG"
"JOURNAL OF ALGEBRA AND RELATED TOPICS"	"2345-3931|2382-9877"	"ENG"
"JOURNAL OF ALGEBRA COMBINATORICS DISCRETE STRUCTURES AND APPLICATIONS"	"2148-838X"	"ENG"
"JOURNAL OF ALGEBRAIC COMBINATORICS"	"0925-9899|1572-9192"	"ENG"
"JOURNAL OF ALGEBRAIC GEOMETRY"	"1056-3911|1534-7486"	"ENG|MUL"
"JOURNAL OF ALGEBRAIC SYSTEMS"	"2345-511X"	"ENG"
"JOURNAL OF ALGORITHMS AND COMPUTATIONAL TECHNOLOGY"	"1748-3018|1748-3026"	"ENG"
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY"	"0091-6749|1097-6825"	"ENG"
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY: IN PRACTICE"	"2213-2198|2213-2201"	"ENG"
"JOURNAL OF ALLIED HEALTH"	"0090-7421"	"ENG"
"JOURNAL OF ALLOYS AND COMPOUNDS"	"0925-8388|1873-4669"	"ENG|MUL"
"JOURNAL OF AL - TAMADDUN"	"2289-2672|1823-7517"	"ARA|ENG|MAY"
"JOURNAL OF ALTERNATIVE AND COMMUNITY MEDIA"	"2206-5857"	"ENG"
"JOURNAL OF ALTERNATIVE INVESTMENTS"	"1520-3255|2168-8435"	"ENG"
"JOURNAL OF ALZHEIMER'S DISEASE"	"1387-2877|1875-8908"	"ENG"
"JOURNAL OF ALZHEIMER'S DISEASE REPORTS"	"2542-4823"	"ENG"
"JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING"	"1868-5137"	"ENG"
"JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS"	"1876-1364|1876-1372"	"ENG"
"JOURNAL OF AMBULATORY CARE MANAGEMENT"	"0148-9917|1550-3267"	"ENG"
"JOURNAL OF AMERICAN COLLEGE HEALTH"	"0744-8481|1940-3208"	"ENG"
"JOURNAL OF AMERICAN - EAST ASIAN RELATIONS"	"1058-3947|1876-5610"	"ENG"
"JOURNAL OF AMERICAN ETHNIC HISTORY"	"0278-5927|1936-4695"	"ENG"
"JOURNAL OF AMERICAN FOLKLORE"	"0021-8715|1535-1882"	"ENG"
"JOURNAL OF AMERICAN HISTORY"	"0021-8723|1945-2314"	"ENG"
"JOURNAL OF AMERICAN STUDIES"	"0021-8758|1469-5154"	"ENG"
"JOURNAL OF ANAESTHESIOLOGY CLINICAL PHARMACOLOGY"	"0970-9185|2231-2730"	"ENG"
"JOURNAL OF ANALYSIS"	"0971-3611|2367-2501"	"ENG"
"JOURNAL OF ANALYSIS AND APPLICATIONS"	"0972-5954"	"ENG"
"JOURNAL OF ANALYSIS AND TESTING"	"2096-241X|2509-4696"	"ENG"
"JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS"	"0165-2370|1873-250X"	"ENG"
"JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY"	"0267-9477|1364-5544"	"ENG"
"JOURNAL OF ANALYTICAL CHEMISTRY"	"1061-9348|1608-3199"	"ENG"
"JOURNAL OF ANALYTICAL METHODS IN CHEMISTRY"	"2090-8865|2090-8873"	"ENG"
"JOURNAL OF ANALYTICAL PSYCHOLOGY"	"0021-8774|1468-5922"	"ENG"
"JOURNAL OF ANALYTICAL SCIENCE AND TECHNOLOGY"	"2093-3134|2093-3371"	"ENG"
"JOURNAL OF ANALYTICAL TOXICOLOGY"	"0146-4760|1945-2403"	"ENG"
"JOURNAL OF ANATOMY"	"0021-8782|1469-7580"	"ENG"
"JOURNAL OF ANCIENT CIVILIZATIONS"	"1004-9371"	"ENG"
"JOURNAL OF ANCIENT HISTORY AND ARCHAEOLOGY"	"2360-266X"	"ENG"
"JOURNAL OF ANCIENT JUDAISM"	"1869-3296|2196-7954"	"ENG"
"JOURNAL OF ANCIENT NEAR EASTERN RELIGIONS"	"1569-2116|1569-2124"	"ENG"
"JOURNAL OF ANESTHESIA"	"0913-8668|1438-8359"	"ENG"
"JOURNAL OF ANESTHESIA HISTORY"	"2352-4529"	"ENG"
"JOURNAL OF ANGIOTHERAPY"	"2207-872X|2207-8843"	"ENG"
"JOURNAL OF ANGLICAN STUDIES"	"1740-3553|1745-5278"	"ENG"
"JOURNAL OF ANGLO - PORTUGUESE STUDIES"	"0871-682X"	"POR"
"JOURNAL OF ANIMAL AND FEED SCIENCES"	"2719-8448|1230-1388"	"ENG"
"JOURNAL OF ANIMAL AND PLANT SCIENCES - JAPS"	"1018-7081|2309-8694"	"ENG"
"JOURNAL OF ANIMAL BEHAVIOUR AND BIOMETEOROLOGY"	"2318-1265"	"ENG|MUL|POR"
"JOURNAL OF ANIMAL BREEDING AND GENETICS"	"0931-2668|1439-0388"	"ENG|GER|MUL"
"JOURNAL OF ANIMAL ECOLOGY"	"0021-8790|1365-2656"	"ENG"
"JOURNAL OF ANIMAL HEALTH AND PRODUCTION"	"2308-2801"	"ENG"
"JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION"	"0931-2439|1439-0396"	"ENG|GER"
"JOURNAL OF ANIMAL SCIENCE"	"0021-8812|1525-3163"	"ENG"
"JOURNAL OF ANIMAL SCIENCE AND BIOTECHNOLOGY"	"1674-9782|2049-1891"	"ENG"
"JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY"	"2055-0391|2672-0191"	"ENG"
"JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY"	"0278-4165|1090-2686"	"ENG"
"JOURNAL OF ANTHROPOLOGICAL RESEARCH"	"0091-7710|2153-3806"	"ENG"
"JOURNAL OF ANTHROPOLOGICAL SCIENCES"	"1827-4765|2037-0644"	"ENG|ITA"
"JOURNAL OF ANTIBIOTICS"	"0021-8820|1881-1469"	"ENG"
"JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY"	"0305-7453|1460-2091"	"ENG"
"JOURNAL OF ANTITRUST ENFORCEMENT"	"2050-0688|2050-0696"	"ENG"
"JOURNAL OF ANXIETY DISORDERS"	"0887-6185|1873-7897"	"ENG"
"JOURNAL OF AOAC INTERNATIONAL"	"1060-3271|1944-7922"	"ENG"
"JOURNAL OF APICULTURAL RESEARCH"	"0021-8839|2078-6913"	"ENG"
"JOURNAL OF APICULTURAL SCIENCE"	"1643-4439|2299-4831"	"ENG"
"JOURNAL OF APPLIED ACCOUNTING RESEARCH"	"0967-5426|1758-8855"	"ENG"
"JOURNAL OF APPLIED ANALYSIS"	"1425-6908|1869-6082"	"ENG"
"JOURNAL OF APPLIED ANALYSIS AND COMPUTATION"	"2156-907X|2158-5644"	"ENG"
"JOURNAL OF APPLIED AND COMPUTATIONAL MECHANICS"	"2383-4536"	"ENG"
"JOURNAL OF APPLIED AND COMPUTATIONAL TOPOLOGY"	"2367-1726|2367-1734"	"ENG"
"JOURNAL OF APPLIED AND INDUSTRIAL MATHEMATICS"	"1990-4789|1990-4797"	"ENG"
"JOURNAL OF APPLIED AND NATURAL SCIENCE"	"0974-9411|2231-5209"	"ENG"
"JOURNAL OF APPLIED AND NUMERICAL OPTIMIZATION"	"2562-5527|2562-5535"	"ENG"
"JOURNAL OF APPLIED ANIMAL NUTRITION"	"2049-257X"	"ENG"
"JOURNAL OF APPLIED ANIMAL RESEARCH"	"0971-2119|0974-1844"	"ENG"
"JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE"	"1088-8705|1532-7604"	"ENG"
"JOURNAL OF APPLIED AQUACULTURE"	"1045-4438|1545-0805"	"ENG"
"JOURNAL OF APPLIED ARTS AND HEALTH"	"2040-2457|2040-2465"	"ENG"
"JOURNAL OF APPLIED BEHAVIOR ANALYSIS"	"0021-8855|1938-3703"	"ENG"
"JOURNAL OF APPLIED BIOLOGICAL CHEMISTRY"	"1976-0442"	"ENG"
"JOURNAL OF APPLIED BIOLOGY AND BIOTECHNOLOGY"	"2347-212X"	"ENG"
"JOURNAL OF APPLIED BIOMATERIALS AND FUNCTIONAL MATERIALS"	"2280-8000"	"ENG"
"JOURNAL OF APPLIED BIOMECHANICS"	"1065-8483|1543-2688"	"ENG"
"JOURNAL OF APPLIED BIOMEDICINE"	"1214-021X|1214-0287"	"ENG"
"JOURNAL OF APPLIED BIOTECHNOLOGY REPORTS"	"2322-1186|2423-5784"	"ENG"
"JOURNAL OF APPLIED BOTANY AND FOOD QUALITY"	"1613-9216|1439-040X"	"ENG"
"JOURNAL OF APPLIED BUSINESS RESEARCH"	"0892-7626"	"ENG"
"JOURNAL OF APPLIED CLINICAL MEDICAL PHYSICS"	"1526-9914"	"ENG"
"JOURNAL OF APPLIED COMMUNICATION RESEARCH"	"0090-9882|1479-5752"	"ENG"
"JOURNAL OF APPLIED CORPORATE FINANCE"	"1745-6622"	"ENG"
"JOURNAL OF APPLIED COSMETOLOGY"	"0392-8543"	"ENG|ITA"
"JOURNAL OF APPLIED CRYSTALLOGRAPHY"	"0021-8898|1600-5767"	"ENG"
"JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY"	"0193-3973|1873-7900"	"ENG"
"JOURNAL OF APPLIED ECOLOGY"	"0021-8901|1365-2664"	"ENG"
"JOURNAL OF APPLIED ECONOMETRICS"	"0883-7252|1099-1255"	"ENG"
"JOURNAL OF APPLIED ECONOMIC RESEARCH"	"2712-7435"	""
"JOURNAL OF APPLIED ECONOMICS"	"1514-0326|1667-6726"	"ENG"
"JOURNAL OF APPLIED ECONOMICS AND BUSINESS RESEARCH"	"1927-033X"	"ENG"
"JOURNAL OF APPLIED ELECTROCHEMISTRY"	"0021-891X|1572-8838"	"ENG|MUL"
"JOURNAL OF APPLIED ENGINEERING SCIENCE/ISTRAZIVANJA I PROJEKTOVANJA ZA PRIVREDU"	"1451-4117"	"ENG"
"JOURNAL OF APPLIED ENGINEERING SCIENCES"	"2247-3769|2284-7197"	"ENG"
"JOURNAL OF APPLIED ENTOMOLOGY"	"0931-2048|1439-0418"	"ENG"
"JOURNAL OF APPLIED FLUID MECHANICS"	"1735-3572|1735-3645"	"ENG"
"JOURNAL OF APPLIED GENETICS"	"1234-1983|2190-3883"	"ENG"
"JOURNAL OF APPLIED GEODESY"	"1862-9016|1862-9024"	"ENG"
"JOURNAL OF APPLIED GEOPHYSICS"	"0926-9851|1879-1859"	"ENG|MUL"
"JOURNAL OF APPLIED GERONTOLOGY"	"0733-4648|1552-4523"	"ENG"
"JOURNAL OF APPLIED GLYCOSCIENCE"	"1344-7882|1880-7291"	"ENG"
"JOURNAL OF APPLIED HEMATOLOGY"	"1658-5127|2454-6976"	"ENG"
"JOURNAL OF APPLIED HERMENEUTICS"	"1927-4416"	"ENG"
"JOURNAL OF APPLIED HORTICULTURE"	"0972-1045"	"ENG"
"JOURNAL OF APPLIED ICHTHYOLOGY"	"0175-8659|1439-0426"	"ENG"
"JOURNAL OF APPLIED JOURNALISM AND MEDIA STUDIES"	"2001-0818|2049-9531"	"ENG"
"JOURNAL OF APPLIED LINGUISTICS AND PROFESSIONAL PRACTICE"	"2040-3658|2040-3666"	"ENG"
"JOURNAL OF APPLIED LOGICS - IFCOLOG JOURNAL OF LOGICS AND THEIR APPLICATIONS"	"2631-9810|2631-9829"	"ENG"
"JOURNAL OF APPLIED MATHEMATICS"	"1110-757X|1687-0042"	"ENG"
"JOURNAL OF APPLIED MATHEMATICS AND COMPUTATIONAL MECHANICS"	"2299-9965|2353-0588"	"ENG"
"JOURNAL OF APPLIED MATHEMATICS AND COMPUTING"	"1598-5865|1865-2085"	"ENG"
"JOURNAL OF APPLIED MATHEMATICS AND INFORMATICS"	"2234-8417|2734-1194"	"ENG"
"JOURNAL OF APPLIED MATHEMATICS STATISTICS AND INFORMATICS"	"1336-9180|1339-0015"	"ENG"
"JOURNAL OF APPLIED MECHANICS AND TECHNICAL PHYSICS"	"0021-8944|1573-8620"	"ENG"
"JOURNAL OF APPLIED MECHANICS - TRANSACTIONS OF THE ASME"	"0021-8936|1528-9036"	"ENG"
"JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY"	"1558-8424|1558-8432"	"ENG"
"JOURNAL OF APPLIED MICROBIOLOGY"	"1364-5072|1365-2672"	"ENG"
"JOURNAL OF APPLIED NON - CLASSICAL LOGICS"	"1166-3081|1958-5780"	"ENG"
"JOURNAL OF APPLIED NONLINEAR DYNAMICS"	"2164-6457|2164-6473"	"ENG"
"JOURNAL OF APPLIED OPTICS"	"1002-2082"	"ENG"
"JOURNAL OF APPLIED ORAL SCIENCE"	"1678-7757|1678-7765"	"ENG|POR"
"JOURNAL OF APPLIED PHARMACEUTICAL SCIENCE"	"2231-3354"	"ENG"
"JOURNAL OF APPLIED PHILOSOPHY"	"0264-3758|1468-5930"	"ENG"
"JOURNAL OF APPLIED PHYCOLOGY"	"0921-8971|1573-5176"	"ENG"
"JOURNAL OF APPLIED PHYSICS"	"0021-8979|1089-7550"	"ENG"
"JOURNAL OF APPLIED PHYSIOLOGY"	"1522-1601|8750-7587"	"ENG"
"JOURNAL OF APPLIED POLYMER SCIENCE"	"0021-8995|1097-4628"	"ENG"
"JOURNAL OF APPLIED POULTRY RESEARCH"	"1056-6171|1537-0437"	"ENG"
"JOURNAL OF APPLIED PROBABILITY"	"0021-9002|1475-6072"	"ENG|MUL"
"JOURNAL OF APPLIED PROBABILITY AND STATISTICS"	"1930-6792"	"ENG"
"JOURNAL OF APPLIED PSYCHOLOGY"	"0021-9010|1939-1854"	"ENG"
"JOURNAL OF APPLIED REHABILITATION COUNSELING"	"0047-2220|2639-7641"	"ENG"
"JOURNAL OF APPLIED REMOTE SENSING"	"1931-3195"	"ENG"
"JOURNAL OF APPLIED RESEARCH AND TECHNOLOGY"	"1665-6423"	"ENG"
"JOURNAL OF APPLIED RESEARCH IN HIGHER EDUCATION"	"1758-1184|2050-7003"	"ENG"
"JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES"	"1360-2322|1468-3148"	"ENG"
"JOURNAL OF APPLIED RESEARCH IN MEMORY AND COGNITION"	"2211-3681|2211-369X"	"ENG"
"JOURNAL OF APPLIED RESEARCH ON CHILDREN"	"2155-5834"	"ENG"
"JOURNAL OF APPLIED RESEARCH ON MEDICINAL AND AROMATIC PLANTS"	"2214-7861"	"ENG"
"JOURNAL OF APPLIED SCHOOL PSYCHOLOGY"	"1537-7903|1537-7911"	"ENG"
"JOURNAL OF APPLIED SCIENCE AND ENGINEERING (TAIWAN)"	"2708-9967|2708-9975"	"ENG"
"JOURNAL OF APPLIED SECURITY RESEARCH"	"1936-1610|1936-1629"	"ENG"
"JOURNAL OF APPLIED SOCIAL PSYCHOLOGY"	"0021-9029|1559-1816"	"ENG"
"JOURNAL OF APPLIED SOCIAL SCIENCE"	"1936-7244"	"ENG"
"JOURNAL OF APPLIED SPECTROSCOPY (ENGLISH TRANSLATION OF ZHURNAL PRIKLADNOI SPEKTROSKOPII)"	"0021-9037|1573-8647"	"ENG"
"JOURNAL OF APPLIED SPORT MANAGEMENT"	"2327-0179|2327-0187"	"ENG"
"JOURNAL OF APPLIED SPORT PSYCHOLOGY"	"1041-3200|1533-1571"	"ENG"
"JOURNAL OF APPLIED STATISTICS"	"0266-4763|1360-0532"	"ENG"
"JOURNAL OF APPLIED STRUCTURAL EQUATION MODELING"	"2590-4221"	"ENG"
"JOURNAL OF APPLIED TOXICOLOGY"	"0260-437X|1099-1263"	"ENG"
"JOURNAL OF APPLIED VOLCANOLOGY"	"2191-5040"	"ENG"
"JOURNAL OF APPLIED WATER ENGINEERING AND RESEARCH"	"2324-9676"	"ENG"
"JOURNAL OF APPLIED YOUTH STUDIES"	"2204-9193|2204-9207"	"ENG"
"JOURNAL OF APPROXIMATION THEORY"	"0021-9045|1096-0430"	"ENG|MUL"
"JOURNAL OF AQUATIC ANIMAL HEALTH"	"0899-7659|1548-8667"	"ENG"
"JOURNAL OF AQUATIC FOOD PRODUCT TECHNOLOGY"	"1049-8850|1547-0636"	"ENG"
"JOURNAL OF AQUATIC PLANT MANAGEMENT"	"0146-6623"	"ENG"
"JOURNAL OF ARAB AND MUSLIM MEDIA RESEARCH"	"1751-9411|1751-942X"	"ENG"
"JOURNAL OF ARABIAN STUDIES"	"2153-4780"	"ENG"
"JOURNAL OF ARABIC LITERATURE"	"0085-2376|1570-064X"	"ENG|FRE"
"JOURNAL OF ARACHNOLOGY"	"0161-8202|1937-2396"	"ENG|MUL"
"JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY"	"1072-5369|1573-7764"	"ENG"
"JOURNAL OF ARCHAEOLOGICAL RESEARCH"	"1059-0161|1573-7756"	"ENG"
"JOURNAL OF ARCHAEOLOGICAL SCIENCE"	"0305-4403|1095-9238"	"ENG"
"JOURNAL OF ARCHAEOLOGICAL SCIENCE: REPORTS"	"2352-409X"	"ENG"
"JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH"	"0738-0895"	"ENG"
"JOURNAL OF ARCHITECTURAL CONSERVATION"	"1355-6207|2326-6384"	"ENG"
"JOURNAL OF ARCHITECTURAL EDUCATION"	"1046-4883|1531-314X"	"ENG"
"JOURNAL OF ARCHITECTURAL ENGINEERING"	"1076-0431|1943-5568"	"ENG"
"JOURNAL OF ARCHITECTURE"	"1360-2365|1466-4410"	"ENG"
"JOURNAL OF ARCHITECTURE AND CIVIL ENGINEERING"	"1673-2049"	"CHI|ENG"
"JOURNAL OF ARCHITECTURE AND PLANNING - KING SAUD UNIVERSITY"	"1018-3604"	"MUL"
"JOURNAL OF ARCHITECTURE AND URBANISM"	"2029-7947|2029-7955"	"ENG|LIT"
"JOURNAL OF ARCHIVAL ORGANIZATION"	"1533-2748|1533-2756"	"ENG"
"JOURNAL OF ARGUMENTATION IN CONTEXT"	"2211-4742|2211-4750"	"ENG"
"JOURNAL OF ARID ENVIRONMENTS"	"0140-1963|1095-922X"	"ENG"
"JOURNAL OF ARID LAND"	"1674-6767|2194-7783"	"ENG"
"JOURNAL OF ARIDLAND AGRICULTURE"	"2455-9377"	"ENG"
"JOURNAL OF ARRHYTHMIA"	"1880-4276|1883-2148"	"ENG"
"JOURNAL OF ART HISTORY - SANAT TARIHI YILLIGI"	"0579-4080|2717-6940"	"ENG|TUR"
"JOURNAL OF ARTHROPLASTY"	"0883-5403|1532-8406"	"ENG"
"JOURNAL OF ARTHROPOD - BORNE DISEASES"	"2322-1984|2322-2271"	"ENG"
"JOURNAL OF ARTHROSCOPY AND JOINT SURGERY"	"2214-9635"	"ENG"
"JOURNAL OF ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING RESEARCH"	"2083-2567|2449-6499"	"ENG"
"JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH"	"1076-9757|1943-5037"	"ENG"
"JOURNAL OF ARTIFICIAL ORGANS"	"1434-7229|1619-0904"	"ENG"
"JOURNAL OF ARTS MANAGEMENT, LAW AND SOCIETY"	"1063-2921|1930-7799"	"ENG"
"JOURNAL OF ASEAN STUDIES"	"2338-1353|2338-1361"	"ENG"
"JOURNAL OF ASIA BUSINESS STUDIES"	"1558-7894|1559-2243"	"ENG"
"JOURNAL OF ASIAN AND AFRICAN STUDIES"	"0021-9096|1745-2538"	"ENG"
"JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING"	"1346-7581|1347-2852"	"ENG"
"JOURNAL OF ASIAN BUSINESS AND ECONOMIC STUDIES"	"2515-964X"	"ENG"
"JOURNAL OF ASIAN CERAMIC SOCIETIES"	"2187-0764"	"ENG"
"JOURNAL OF ASIAN EARTH SCIENCES"	"1367-9120|1878-5786"	"ENG"
"JOURNAL OF ASIAN EARTH SCIENCES: X"	"2590-0560"	"ENG"
"JOURNAL OF ASIAN ECONOMICS"	"1049-0078|1873-7927"	"ENG"
"JOURNAL OF ASIAN HISTORY"	"0021-910X"	"ENG"
"JOURNAL OF ASIAN HUMANITIES AT KYUSHU UNIVERSITY"	"2433-4391|2433-4855"	"ENG"
"JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH"	"1028-6020|1477-2213"	"ENG"
"JOURNAL OF ASIAN PACIFIC COMMUNICATION"	"0957-6851|1569-9838"	"ENG"
"JOURNAL OF ASIAN PUBLIC POLICY"	"1751-6234|1751-6242"	"ENG"
"JOURNAL OF ASIAN SECURITY AND INTERNATIONAL AFFAIRS"	"2347-7970|2349-0039"	"ENG"
"JOURNAL OF ASIAN SOCIOLOGY"	"2671-4574|2671-8200"	"ENG"
"JOURNAL OF ASIAN STUDIES"	"0021-9118|1752-0401"	"ENG"
"JOURNAL OF ASIA - PACIFIC BIODIVERSITY"	"2287-884X|2287-9544"	"ENG"
"JOURNAL OF ASIA - PACIFIC BUSINESS"	"1059-9231|1528-6940"	"ENG"
"JOURNAL OF ASIA - PACIFIC ENTOMOLOGY"	"1226-8615|1876-7990"	"ENG"
"JOURNAL OF ASIA - PACIFIC POP CULTURE"	"2380-7679|2380-7687"	"ENG"
"JOURNAL OF ASIA TEFL"	"1738-3102|2466-1511"	"ENG"
"JOURNAL OF ASSET MANAGEMENT"	"1470-8272|1479-179X"	"ENG"
"JOURNAL OF ASSISTED REPRODUCTION AND GENETICS"	"1058-0468|1573-7330"	"ENG"
"JOURNAL OF ASSOCIATED MEDICAL SCIENCES"	"2539-6056"	"ENG"
"JOURNAL OF ASTHMA"	"0277-0903|1532-4303"	"ENG"
"JOURNAL OF ASTHMA AND ALLERGY"	"1178-6965"	"ENG"
"JOURNAL OF ASTRONOMICAL HISTORY AND HERITAGE"	"1440-2807"	"ENG"
"JOURNAL OF ASTRONOMICAL INSTRUMENTATION"	"2251-1717|2251-1725"	"ENG"
"JOURNAL OF ASTRONOMICAL TELESCOPES, INSTRUMENTS, AND SYSTEMS"	"2329-4124|2329-4221"	"ENG"
"JOURNAL OF ASTRONOMY AND EARTH SCIENCES EDUCATION"	"2374-6246|2374-6254"	"ENG"
"JOURNAL OF ASTRONOMY AND SPACE SCIENCES"	"2093-1409|2093-5587"	"ENG"
"JOURNAL OF ASTROPHYSICS AND ASTRONOMY"	"0250-6335|0973-7758"	"ENG"
"JOURNAL OF ATHEROSCLEROSIS AND THROMBOSIS"	"1340-3478|1880-3873"	"ENG"
"JOURNAL OF ATHLETIC TRAINING"	"1062-6050|1938-162X"	"ENG"
"JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY"	"0739-0572|1520-0426"	"ENG"
"JOURNAL OF ATMOSPHERIC AND SOLAR - TERRESTRIAL PHYSICS"	"1364-6826|1879-1824"	"ENG"
"JOURNAL OF ATMOSPHERIC CHEMISTRY"	"0167-7764|1573-0662"	"ENG"
"JOURNAL OF ATOMIC AND MOLECULAR SCIENCES"	"2075-1303"	"ENG"
"JOURNAL OF ATRIAL FIBRILLATION"	"1941-6911"	"ENG"
"JOURNAL OF ATTENTION DISORDERS"	"1087-0547|1557-1246"	"ENG"
"JOURNAL OF AUDIOLOGY AND OTOLOGY"	"2384-1621|2384-1710"	"ENG"
"JOURNAL OF AUSTRALIAN POLITICAL ECONOMY"	"0156-5826|1839-3675"	"ENG"
"JOURNAL OF AUSTRALIAN STUDIES"	"0314-769X|1444-3058|1835-6419"	"ENG"
"JOURNAL OF AUSTRALIAN TAXATION"	"1440-0405|2208-6773"	"ENG"
"JOURNAL OF AUSTRIAN - AMERICAN HISTORY"	"2475-0905|2475-0913"	"ENG"
"JOURNAL OF AUSTRIAN STUDIES"	"2165-669X|2327-1809"	"ENG|GER|MUL"
"JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS"	"0162-3257|1573-3432"	"ENG"
"JOURNAL OF AUTOIMMUNITY"	"0896-8411|1095-9157"	"ENG"
"JOURNAL OF AUTOMATA, LANGUAGES AND COMBINATORICS"	"1430-189X|2567-3785"	"ENG"
"JOURNAL OF AUTOMATED REASONING"	"0168-7433|1573-0670"	"ENG"
"JOURNAL OF AUTOMATION AND INFORMATION SCIENCES"	"1064-2315"	"ENG"
"JOURNAL OF AUTOMATION, MOBILE ROBOTICS AND INTELLIGENT SYSTEMS"	"1897-8649|2080-2145"	"ENG"
"JOURNAL OF AUTOMOTIVE SAFETY AND ENERGY"	"1674-8484"	"CHI|ENG"
"JOURNAL OF AVIAN BIOLOGY"	"0908-8857|1600-048X"	"ENG"
"JOURNAL OF AVIAN MEDICINE AND SURGERY"	"1082-6742|1938-2871"	"ENG"
"JOURNAL OF AYUB MEDICAL COLLEGE, ABBOTTABAD : JAMC"	"1025-9589"	"ENG"
"JOURNAL OF AYURVEDA AND INTEGRATIVE MEDICINE"	"0975-9476|0976-2809"	"ENG"
"JOURNAL OF BABOL UNIVERSITY OF MEDICAL SCIENCES"	"1561-4107"	"PER"
"JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION"	"1053-8127|1878-6324"	"ENG"
